model,draw,method,n_per_type,top_share,top_type,deepest_type,rho_depth_share,share_pDC,argmax_agree_all,argmax_agree_informative
proximal,3,raw_mean,112,0.25810235093226624,pDC,pDC,0.9761904761904763,0.25810235093226624,0.32298657718120805,0.5949177877428998
proximal,3,zscale_mean,112,0.2807147662003898,pDC,pDC,0.9761904761904763,0.2807147662003898,0.32248322147651004,0.600896860986547
proximal,3,lognorm_mean,112,0.17976093968297774,pDC,pDC,0.7380952380952381,0.17976093968297774,0.31828859060402687,0.5986547085201793
proximal,3,pseudobulk_cpm,112,0.17284440381530608,B,pDC,0.28571428571428575,0.14374665815754523,0.3169463087248322,0.5874439461883408
proximal,3,depth_matched,112,0.23833589181916967,B,pDC,0.8333333333333335,0.1555616882556876,0.31778523489932886,0.593423019431988
proximal,3,cpm_mean,112,0.17691498352795074,B,pDC,0.7142857142857144,0.15626886523966402,0.2873322147651007,0.5590433482810164
proximal,3,archr_style,112,0.17976093968297774,pDC,pDC,0.7380952380952381,0.17976093968297774,0.31828859060402687,0.5986547085201793
proximal,4,raw_mean,112,0.2548596857374476,pDC,pDC,0.9285714285714287,0.2548596857374476,0.3143456375838926,0.6001494768310912
proximal,4,zscale_mean,112,0.2750918467668213,pDC,pDC,0.9047619047619048,0.2750918467668213,0.31468120805369126,0.601644245142003
proximal,4,lognorm_mean,112,0.17662176380288735,B,pDC,0.7142857142857144,0.17603532435276056,0.3157718120805369,0.609118086696562
proximal,4,pseudobulk_cpm,112,0.1802266415992549,Mono_CD14,pDC,0.28571428571428575,0.1440398778826086,0.3067953020134228,0.5911808669656203
proximal,4,depth_matched,112,0.23304068854890733,B,pDC,0.7380952380952381,0.15064594580609553,0.3183724832214765,0.6076233183856502
proximal,4,cpm_mean,112,0.17596633147627508,B,pDC,0.6666666666666669,0.15295720716835987,0.2860738255033557,0.5538116591928252
proximal,4,archr_style,112,0.17662176380288735,B,pDC,0.7142857142857144,0.17603532435276056,0.3157718120805369,0.609118086696562
